year,month,positive,neutral,negative,exception
2013,4,5.0,29.0,3.0,6.0
2013,5,4.0,47.0,5.0,12.0
2013,6,13.0,71.0,7.0,16.0
2013,7,13.0,134.0,7.0,16.0
2013,8,11.0,139.0,14.0,17.0
2013,9,33.0,300.0,19.0,19.0
2013,10,27.0,302.0,17.0,20.0
2013,11,24.0,257.0,22.0,15.0
2013,12,28.0,243.0,11.0,20.0
2014,1,25.0,208.0,8.0,18.0
2014,2,34.0,265.0,17.0,13.0
2014,3,35.0,276.0,19.0,16.0
2014,4,36.0,308.0,26.0,15.0
2014,5,45.0,294.0,15.0,16.0
2014,6,29.0,321.0,19.0,15.0
2014,7,47.0,343.0,24.0,15.0
2014,8,36.0,348.0,31.0,17.0
2014,9,38.0,382.0,29.0,20.0
2014,10,58.0,380.0,32.0,19.0
2014,11,40.0,417.0,23.0,9.0
2014,12,47.0,369.0,18.0,16.0
2015,1,38.0,410.0,33.0,16.0
2015,2,35.0,365.0,17.0,14.0
2015,3,21.0,363.0,15.0,19.0
2015,4,39.0,339.0,7.0,17.0
2015,5,27.0,347.0,14.0,19.0
2015,6,30.0,349.0,14.0,18.0
2015,7,57.0,435.0,16.0,20.0
2015,8,32.0,391.0,19.0,16.0
2015,9,34.0,403.0,16.0,17.0
2015,10,27.0,424.0,14.0,14.0
2015,11,47.0,464.0,14.0,13.0
2015,12,53.0,442.0,22.0,15.0
2016,1,0.0,0.0,0.0,0.0
2016,2,0.0,0.0,0.0,0.0
2016,3,0.0,0.0,0.0,0.0
2016,4,0.0,0.0,0.0,0.0
2016,5,0.0,0.0,0.0,0.0
2016,6,0.0,0.0,0.0,0.0
2016,7,0.0,0.0,0.0,0.0
2016,8,0.0,0.0,0.0,0.0
2016,9,0.0,0.0,0.0,0.0
2016,10,0.0,0.0,0.0,0.0
2016,11,0.0,0.0,0.0,0.0
2016,12,0.0,0.0,0.0,0.0
2017,1,0.0,0.0,0.0,0.0
2017,2,0.0,0.0,0.0,0.0
2017,3,0.0,0.0,0.0,0.0
2017,4,0.0,0.0,0.0,0.0
2017,5,0.0,0.0,0.0,0.0
2017,6,0.0,0.0,0.0,0.0
2017,7,0.0,0.0,0.0,0.0
2017,8,0.0,0.0,0.0,0.0
2017,9,0.0,0.0,0.0,0.0
2017,10,0.0,0.0,0.0,0.0
2017,11,0.0,0.0,0.0,0.0
2017,12,0.0,0.0,0.0,0.0
2018,1,0.0,0.0,0.0,0.0
2018,2,0.0,0.0,0.0,0.0
2018,3,0.0,0.0,0.0,0.0
2018,4,0.0,0.0,0.0,0.0
2018,5,0.0,0.0,0.0,0.0
2018,6,0.0,0.0,0.0,0.0
2018,7,0.0,0.0,0.0,0.0
2018,8,0.0,0.0,0.0,0.0
2018,9,0.0,0.0,0.0,0.0
2018,10,0.0,0.0,0.0,0.0
2018,11,0.0,0.0,0.0,0.0
2018,12,0.0,0.0,0.0,0.0
2019,1,0.0,0.0,0.0,0.0
2019,2,0.0,0.0,0.0,0.0
2019,3,0.0,0.0,0.0,0.0
2019,4,0.0,0.0,0.0,0.0
2019,5,0.0,0.0,0.0,0.0
2019,6,0.0,0.0,0.0,0.0
2019,7,0.0,0.0,0.0,0.0
2019,8,0.0,0.0,0.0,0.0
2019,9,0.0,0.0,0.0,0.0
2019,10,0.0,0.0,0.0,0.0
2019,11,0.0,0.0,0.0,0.0
2019,12,0.0,0.0,0.0,0.0
2020,1,0.0,0.0,0.0,0.0
2020,2,0.0,0.0,0.0,0.0
2020,3,0.0,0.0,0.0,0.0
2020,4,0.0,0.0,0.0,0.0
2020,5,0.0,0.0,0.0,0.0
2020,6,0.0,0.0,0.0,0.0
2020,7,0.0,0.0,0.0,0.0
2020,8,0.0,0.0,0.0,0.0
2020,9,0.0,0.0,0.0,0.0
2020,10,0.0,0.0,0.0,0.0
2020,11,0.0,0.0,0.0,0.0
2020,12,0.0,0.0,0.0,0.0
2021,1,0.0,0.0,0.0,0.0
2021,2,0.0,0.0,0.0,0.0
2021,3,0.0,0.0,0.0,0.0
2021,4,0.0,0.0,0.0,0.0
2021,5,0.0,0.0,0.0,0.0
2021,6,0.0,0.0,0.0,0.0
2021,7,0.0,0.0,0.0,0.0
2021,8,0.0,0.0,0.0,0.0
2021,9,0.0,0.0,0.0,0.0
