year,month,positive,neutral,negative,exception
1979,1,0.0,0.0,0.0,0.0
1979,2,0.0,0.0,0.0,0.0
1979,3,0.0,0.0,0.0,0.0
1979,4,0.0,0.0,0.0,0.0
1979,5,0.0,0.0,0.0,0.0
1979,6,0.0,0.0,0.0,0.0
1979,7,0.0,0.0,0.0,0.0
1979,8,0.0,0.0,0.0,0.0
1979,9,0.0,0.0,0.0,0.0
1979,10,0.0,0.0,0.0,0.0
1979,11,0.0,0.0,0.0,0.0
1979,12,0.0,0.0,0.0,0.0
1980,1,0.0,0.0,0.0,0.0
1980,2,0.0,0.0,0.0,0.0
1980,3,0.0,0.0,0.0,0.0
1980,4,0.0,0.0,0.0,0.0
1980,5,0.0,0.0,0.0,0.0
1980,6,0.0,0.0,0.0,0.0
1980,7,0.0,0.0,0.0,0.0
1980,8,0.0,0.0,0.0,0.0
1980,9,0.0,0.0,0.0,0.0
1980,10,0.0,0.0,0.0,0.0
1980,11,0.0,0.0,0.0,0.0
1980,12,0.0,0.0,0.0,0.0
1981,1,0.0,0.0,0.0,0.0
1981,2,0.0,0.0,0.0,0.0
1981,3,0.0,0.0,0.0,0.0
1981,4,0.0,0.0,0.0,0.0
1981,5,0.0,0.0,0.0,0.0
1981,6,0.0,0.0,0.0,0.0
1981,7,0.0,0.0,0.0,0.0
1981,8,0.0,0.0,0.0,0.0
1981,9,0.0,0.0,0.0,0.0
1981,10,0.0,0.0,0.0,0.0
1981,11,0.0,0.0,0.0,0.0
1981,12,0.0,0.0,0.0,0.0
1982,1,0.0,0.0,0.0,0.0
1982,2,0.0,0.0,0.0,0.0
1982,3,0.0,0.0,0.0,0.0
1982,4,0.0,0.0,0.0,0.0
1982,5,0.0,0.0,0.0,0.0
1982,6,0.0,0.0,0.0,0.0
1982,7,0.0,0.0,0.0,0.0
1982,8,0.0,0.0,0.0,0.0
1982,9,0.0,0.0,0.0,0.0
1982,10,0.0,0.0,0.0,0.0
1982,11,0.0,0.0,0.0,0.0
1982,12,0.0,0.0,0.0,0.0
1983,1,0.0,0.0,0.0,0.0
1983,2,0.0,0.0,0.0,0.0
1983,3,0.0,0.0,0.0,0.0
1983,4,0.0,0.0,0.0,0.0
1983,5,0.0,0.0,0.0,0.0
1983,6,0.0,0.0,0.0,0.0
1983,7,0.0,0.0,0.0,0.0
1983,8,0.0,0.0,0.0,0.0
1983,9,0.0,0.0,0.0,0.0
1983,10,0.0,0.0,0.0,0.0
1983,11,0.0,0.0,0.0,0.0
1983,12,0.0,0.0,0.0,0.0
1984,1,0.0,0.0,0.0,0.0
1984,2,0.0,0.0,0.0,0.0
1984,3,0.0,0.0,0.0,0.0
1984,4,0.0,0.0,0.0,0.0
1984,5,0.0,0.0,0.0,0.0
1984,6,0.0,0.0,0.0,0.0
1984,7,0.0,0.0,0.0,0.0
1984,8,0.0,0.0,0.0,0.0
1984,9,0.0,0.0,0.0,0.0
1984,10,0.0,0.0,0.0,0.0
1984,11,0.0,0.0,0.0,0.0
1984,12,0.0,0.0,0.0,0.0
1985,1,0.0,0.0,0.0,0.0
1985,2,0.0,0.0,0.0,0.0
1985,3,0.0,0.0,0.0,0.0
1985,4,0.0,0.0,0.0,0.0
1985,5,0.0,0.0,0.0,0.0
1985,6,0.0,0.0,0.0,0.0
1985,7,0.0,0.0,0.0,0.0
1985,8,0.0,0.0,0.0,0.0
1985,9,0.0,0.0,0.0,0.0
1985,10,0.0,0.0,0.0,0.0
1985,11,0.0,0.0,0.0,0.0
1985,12,0.0,0.0,0.0,0.0
1986,1,0.0,0.0,0.0,0.0
1986,2,0.0,0.0,0.0,0.0
