year,month,positive,neutral,negative,exception
2013,4,10.0,47.0,3.0,10.0
2013,5,4.0,47.0,5.0,12.0
2013,6,13.0,71.0,7.0,16.0
2013,7,13.0,134.0,7.0,16.0
2013,8,11.0,139.0,14.0,17.0
2013,9,33.0,300.0,19.0,19.0
2013,10,27.0,302.0,17.0,20.0
2013,11,24.0,257.0,22.0,15.0
2013,12,28.0,243.0,11.0,20.0
2014,1,25.0,208.0,8.0,18.0
2014,2,34.0,265.0,17.0,13.0
2014,3,35.0,276.0,19.0,16.0
2014,4,36.0,308.0,26.0,15.0
2014,5,45.0,294.0,15.0,16.0
2014,6,29.0,321.0,19.0,15.0
2014,7,47.0,343.0,24.0,15.0
2014,8,36.0,348.0,31.0,17.0
2014,9,38.0,382.0,29.0,20.0
2014,10,58.0,380.0,32.0,19.0
2014,11,40.0,417.0,23.0,9.0
2014,12,47.0,369.0,18.0,16.0
2015,1,38.0,410.0,33.0,16.0
2015,2,35.0,365.0,17.0,14.0
2015,3,21.0,363.0,15.0,19.0
2015,4,39.0,339.0,7.0,17.0
2015,5,27.0,347.0,14.0,19.0
2015,6,30.0,354.0,16.0,19.0
2015,7,59.0,442.0,16.0,21.0
2015,8,32.0,391.0,19.0,16.0
2015,9,34.0,403.0,16.0,17.0
2015,10,27.0,424.0,14.0,14.0
2015,11,47.0,464.0,14.0,13.0
2015,12,59.0,477.0,22.0,16.0
2016,1,38.0,466.0,19.0,19.0
2016,2,65.0,432.0,18.0,13.0
2016,3,60.0,479.0,23.0,19.0
2016,4,46.0,446.0,19.0,15.0
2016,5,43.0,462.0,14.0,18.0
2016,6,46.0,528.0,22.0,17.0
2016,7,41.0,394.0,17.0,22.0
2016,8,57.0,417.0,11.0,24.0
2016,9,74.0,487.0,21.0,21.0
2016,10,61.0,463.0,16.0,16.0
2016,11,32.0,562.0,29.0,16.0
2016,12,48.0,402.0,15.0,17.0
2017,1,51.0,495.0,11.0,18.0
2017,2,58.0,496.0,18.0,18.0
2017,3,66.0,524.0,22.0,18.0
2017,4,55.0,415.0,18.0,14.0
2017,5,46.0,491.0,16.0,15.0
2017,6,45.0,457.0,15.0,12.0
2017,7,58.0,368.0,16.0,15.0
2017,8,46.0,438.0,22.0,15.0
2017,9,38.0,418.0,23.0,13.0
2017,10,57.0,476.0,17.0,11.0
2017,11,45.0,418.0,13.0,17.0
2017,12,54.0,393.0,19.0,16.0
2018,1,65.0,482.0,11.0,16.0
2018,2,55.0,428.0,11.0,11.0
2018,3,61.0,456.0,22.0,16.0
2018,4,62.0,428.0,14.0,14.0
2018,5,56.0,438.0,18.0,19.0
2018,6,68.0,443.0,13.0,16.0
2018,7,66.0,410.0,16.0,15.0
2018,8,69.0,424.0,13.0,10.0
2018,9,58.0,400.0,22.0,12.0
2018,10,57.0,475.0,18.0,15.0
2018,11,65.0,427.0,26.0,12.0
2018,12,56.0,372.0,14.0,17.0
2019,1,59.0,405.0,16.0,17.0
2019,2,59.0,403.0,8.0,12.0
2019,3,68.0,416.0,17.0,14.0
2019,4,68.0,367.0,13.0,11.0
2019,5,72.0,437.0,13.0,17.0
2019,6,58.0,398.0,17.0,16.0
2019,7,72.0,403.0,8.0,18.0
2019,8,64.0,382.0,19.0,14.0
2019,9,52.0,369.0,14.0,17.0
2019,10,77.0,403.0,24.0,12.0
2019,11,62.0,384.0,8.0,17.0
2019,12,50.0,363.0,14.0,20.0
2020,1,50.0,313.0,12.0,12.0
2020,2,54.0,356.0,14.0,11.0
2020,3,77.0,385.0,27.0,18.0
2020,4,64.0,303.0,16.0,11.0
2020,5,81.0,387.0,17.0,11.0
2020,6,89.0,489.0,21.0,15.0
2020,7,67.0,408.0,15.0,14.0
2020,8,63.0,372.0,11.0,10.0
2020,9,55.0,404.0,15.0,12.0
2020,10,20.0,107.0,5.0,3.0
2020,11,38.0,218.0,22.0,11.0
2020,12,55.0,322.0,22.0,17.0
2021,1,44.0,226.0,7.0,9.0
2021,2,57.0,343.0,16.0,15.0
2021,3,75.0,363.0,21.0,10.0
2021,4,63.0,412.0,20.0,7.0
2021,5,80.0,364.0,29.0,10.0
2021,6,62.0,342.0,17.0,13.0
2021,7,54.0,328.0,13.0,15.0
2021,8,20.0,144.0,6.0,4.0
2021,9,58.0,367.0,18.0,8.0
