year,month,positive,neutral,negative,exception
1979,1,15,90,91,48
1979,2,35,8,19,55
1979,3,23,67,69,58
1979,4,73,35,56,33
1979,5,18,70,75,53
1979,6,70,78,80,27
1979,7,36,64,61,58
1979,8,100,69,24,57
1979,9,38,85,40,78
1979,10,61,95,33,83
1979,11,30,86,64,62
1979,12,20,10,66,100
1980,1,76,34,25,77
1980,2,76,77,59,42
1980,3,71,67,14,83
1980,4,5,6,29,29
1980,5,62,66,78,92
1980,6,41,56,10,13
1980,7,56,72,65,25
1980,8,90,68,27,77
1980,9,99,28,33,96
1980,10,91,64,95,51
1980,11,0,98,85,80
1980,12,70,69,81,60
1981,1,15,92,12,22
1981,2,24,24,4,58
1981,3,4,96,96,12
1981,4,76,84,51,14
1981,5,98,20,91,19
1981,6,10,73,14,30
1981,7,7,44,32,82
1981,8,82,50,68,93
1981,9,6,58,69,48
1981,10,91,87,90,71
1981,11,12,70,19,26
1981,12,81,78,74,41
1982,1,82,12,16,21
1982,2,67,90,19,35
1982,3,58,59,5,72
1982,4,63,51,6,66
1982,5,43,51,68,19
1982,6,87,70,95,90
1982,7,94,8,19,14
1982,8,8,61,40,69
1982,9,2,22,35,42
1982,10,38,62,78,82
1982,11,16,98,4,98
1982,12,46,49,81,70
1983,1,51,10,53,100
1983,2,63,92,96,1
1983,3,96,31,18,77
1983,4,99,65,79,74
1983,5,20,38,10,8
1983,6,92,63,69,6
1983,7,21,28,37,21
1983,8,46,72,23,99
1983,9,84,12,65,37
1983,10,4,17,31,6
1983,11,32,93,98,14
1983,12,69,46,54,63
1984,1,34,57,96,11
1984,2,54,33,35,33
1984,3,83,67,78,80
1984,4,97,32,44,79
1984,5,43,30,31,12
1984,6,79,64,9,74
1984,7,37,48,40,31
1984,8,13,1,19,55
1984,9,69,64,4,76
1984,10,98,48,13,4
1984,11,9,29,94,64
1984,12,16,78,55,47
1985,1,27,33,33,42
1985,2,49,15,74,18
1985,3,73,58,1,48
1985,4,33,42,93,55
1985,5,3,28,22,6
1985,6,87,16,64,29
1985,7,65,66,7,87
1985,8,98,84,12,82
1985,9,30,8,15,38
1985,10,64,78,1,79
1985,11,64,81,81,40
1985,12,12,72,30,81
1986,1,96,86,59,17
1986,2,60,75,89,81
1986,3,83,69,40,7
1986,4,31,79,63,23
1986,5,17,46,19,71
1986,6,96,99,16,97
1986,7,29,27,26,76
1986,8,3,23,49,42
1986,9,87,16,15,59
1986,10,75,57,39,12
1986,11,55,18,34,86
1986,12,75,44,10,31
1987,1,27,53,30,41
1987,2,10,2,78,26
1987,3,80,18,8,56
1987,4,28,45,29,74
1987,5,39,6,30,79
1987,6,22,57,37,54
1987,7,31,68,95,85
1987,8,13,93,44,11
1987,9,14,87,78,68
1987,10,21,23,89,66
1987,11,100,36,89,36
1987,12,64,56,97,1
1988,1,67,94,72,48
1988,2,2,27,99,26
1988,3,61,3,78,94
1988,4,62,60,68,54
1988,5,19,58,82,43
1988,6,100,14,83,22
1988,7,54,39,15,0
1988,8,74,22,46,80
1988,9,73,76,27,89
1988,10,23,9,61,75
1988,11,43,40,22,86
1988,12,51,11,47,78
1989,1,84,44,84,42
1989,2,60,7,74,70
1989,3,71,19,40,7
1989,4,73,91,29,37
1989,5,5,83,3,82
1989,6,18,73,41,59
1989,7,47,67,40,6
1989,8,59,48,20,38
1989,9,81,1,28,54
1989,10,85,93,9,17
1989,11,72,100,60,70
1989,12,61,22,13,87
1990,1,71,41,55,68
1990,2,31,100,57,15
1990,3,55,69,36,86
1990,4,41,80,5,70
1990,5,34,88,38,60
