device cuda
Reading Train, Test, Val
Encoding Labels
Data prep
Defining Model
The model has 3,679,747 trainable parameters
Start model training
Epoch: 01 | Epoch Time: 0m 25s
	Train Loss: 0.598 | Train Acc: 70.22%
	 Val. Loss: 0.544 | Val. F1-macro: 74.81%
Epoch: 02 | Epoch Time: 0m 25s
	Train Loss: 0.529 | Train Acc: 74.23%
	 Val. Loss: 0.530 | Val. F1-macro: 73.27%
Epoch: 03 | Epoch Time: 0m 25s
	Train Loss: 0.509 | Train Acc: 74.95%
	 Val. Loss: 0.523 | Val. F1-macro: 75.59%
Epoch: 04 | Epoch Time: 0m 26s
	Train Loss: 0.487 | Train Acc: 75.58%
	 Val. Loss: 0.518 | Val. F1-macro: 74.85%
Epoch: 05 | Epoch Time: 0m 26s
	Train Loss: 0.474 | Train Acc: 77.12%
	 Val. Loss: 0.516 | Val. F1-macro: 75.20%
Epoch: 06 | Epoch Time: 0m 26s
	Train Loss: 0.460 | Train Acc: 77.83%
	 Val. Loss: 0.523 | Val. F1-macro: 74.48%
Epoch: 07 | Epoch Time: 0m 26s
	Train Loss: 0.445 | Train Acc: 78.38%
	 Val. Loss: 0.546 | Val. F1-macro: 72.80%
Epoch: 08 | Epoch Time: 0m 26s
	Train Loss: 0.431 | Train Acc: 79.03%
	 Val. Loss: 0.534 | Val. F1-macro: 75.69%
Epoch: 09 | Epoch Time: 0m 26s
	Train Loss: 0.415 | Train Acc: 80.33%
	 Val. Loss: 0.570 | Val. F1-macro: 72.80%
Epoch: 10 | Epoch Time: 0m 26s
	Train Loss: 0.381 | Train Acc: 82.02%
	 Val. Loss: 0.583 | Val. F1-macro: 73.27%
Epoch: 11 | Epoch Time: 0m 26s
	Train Loss: 0.376 | Train Acc: 81.49%
	 Val. Loss: 0.592 | Val. F1-macro: 72.51%
Epoch: 12 | Epoch Time: 0m 26s
	Train Loss: 0.350 | Train Acc: 82.96%
	 Val. Loss: 0.601 | Val. F1-macro: 72.06%
Epoch: 13 | Epoch Time: 0m 26s
	Train Loss: 0.333 | Train Acc: 84.11%
	 Val. Loss: 0.610 | Val. F1-macro: 71.55%
Epoch: 14 | Epoch Time: 0m 26s
	Train Loss: 0.322 | Train Acc: 85.11%
	 Val. Loss: 0.622 | Val. F1-macro: 74.11%
Epoch: 15 | Epoch Time: 0m 26s
	Train Loss: 0.299 | Train Acc: 87.19%
	 Val. Loss: 0.637 | Val. F1-macro: 71.34%
Epoch: 16 | Epoch Time: 0m 26s
	Train Loss: 0.290 | Train Acc: 86.04%
	 Val. Loss: 0.636 | Val. F1-macro: 73.70%
Epoch: 17 | Epoch Time: 0m 26s
	Train Loss: 0.276 | Train Acc: 87.96%
	 Val. Loss: 0.704 | Val. F1-macro: 72.76%
Epoch: 18 | Epoch Time: 0m 26s
	Train Loss: 0.275 | Train Acc: 87.84%
	 Val. Loss: 0.736 | Val. F1-macro: 72.08%
Epoch: 19 | Epoch Time: 0m 26s
	Train Loss: 0.244 | Train Acc: 89.39%
	 Val. Loss: 0.718 | Val. F1-macro: 73.95%
Epoch: 20 | Epoch Time: 0m 26s
	Train Loss: 0.221 | Train Acc: 89.36%
	 Val. Loss: 0.725 | Val. F1-macro: 73.99%
Epoch: 21 | Epoch Time: 0m 26s
	Train Loss: 0.212 | Train Acc: 90.95%
	 Val. Loss: 0.780 | Val. F1-macro: 73.03%
Epoch: 22 | Epoch Time: 0m 26s
	Train Loss: 0.207 | Train Acc: 91.34%
	 Val. Loss: 0.811 | Val. F1-macro: 72.91%
Epoch: 23 | Epoch Time: 0m 26s
	Train Loss: 0.208 | Train Acc: 90.56%
	 Val. Loss: 0.897 | Val. F1-macro: 74.13%
Epoch: 24 | Epoch Time: 0m 26s
	Train Loss: 0.192 | Train Acc: 91.63%
	 Val. Loss: 0.937 | Val. F1-macro: 70.47%
Epoch: 25 | Epoch Time: 0m 26s
	Train Loss: 0.188 | Train Acc: 91.28%
	 Val. Loss: 0.882 | Val. F1-macro: 72.28%
Epoch: 26 | Epoch Time: 0m 26s
	Train Loss: 0.179 | Train Acc: 92.06%
	 Val. Loss: 0.866 | Val. F1-macro: 74.51%
Epoch: 27 | Epoch Time: 0m 26s
	Train Loss: 0.183 | Train Acc: 91.94%
	 Val. Loss: 0.880 | Val. F1-macro: 72.28%
Epoch: 28 | Epoch Time: 0m 26s
	Train Loss: 0.158 | Train Acc: 92.66%
	 Val. Loss: 1.024 | Val. F1-macro: 73.05%
Epoch: 29 | Epoch Time: 0m 26s
	Train Loss: 0.161 | Train Acc: 92.31%
